age,personnel_id,gender,race,marital_status,education,type_of_work,salary,distance_from_home,years_with_current_manager
40,126,0,2,2,0,0,90821,11,5
50,127,1,2,2,0,2,45929,22,10
61,128,0,6,0,0,4,96007,14,6
57,129,0,2,1,0,1,108739,11,9
40,130,0,1,2,1,3,75900,8,2
55,131,0,2,0,1,1,83550,24,7
67,132,0,2,2,0,2,24111,9,5
52,133,0,2,2,1,3,70887,10,3
48,134,1,2,1,1,3,116490,19,3
71,135,0,2,1,1,3,65297,6,6
48,136,1,3,0,1,1,64619,12,11
31,137,0,1,2,1,1,62046,11,6
29,138,0,2,0,3,3,78474,2,4
39,139,0,2,1,1,1,71029,16,4
55,140,0,1,1,3,3,33533,16,9
50,141,0,2,1,1,0,66676,3,1
40,142,0,6,0,1,3,105022,10,7
37,143,0,2,2,0,1,80576,17,6
32,144,0,1,1,2,0,95963,14,1
38,145,1,3,1,0,1,82780,5,4
46,146,1,3,1,0,2,71682,24,5
53,147,0,1,1,0,2,36433,13,5
56,148,0,2,2,1,3,35560,18,6
41,149,0,2,0,3,1,49083,20,6
48,150,0,3,1,2,1,89510,23,5
44,151,0,2,2,0,0,69482,2,4
43,152,1,2,2,2,0,84960,10,7
44,153,0,2,2,3,0,75205,16,6
40,154,0,2,2,1,1,38680,7,1
40,155,0,2,1,0,1,57644,12,6
37,156,0,2,1,3,0,91621,12,7
60,157,0,2,0,2,1,46296,14,6
67,158,0,2,2,1,0,72226,18,1
22,159,0,2,2,2,1,105568,18,3
52,160,1,2,0,1,3,52653,21,7
45,161,1,2,2,0,2,49522,23,5
50,162,0,3,0,1,3,53384,11,6
43,163,0,2,0,0,1,76456,17,7
34,164,0,2,0,3,1,83325,19,7
46,165,0,2,0,2,1,85605,2,11
36,166,0,2,2,0,0,31039,9,3
35,167,0,2,0,1,3,76161,11,7
52,168,1,4,0,1,0,81829,7,5
59,169,0,1,1,3,3,24974,24,7
40,170,0,2,2,1,1,81154,8,3
59,171,1,2,1,4,1,49912,12,7
50,172,0,2,2,0,1,77404,19,4
60,173,0,2,2,3,0,31551,20,2
47,174,0,2,1,2,3,113862,16,5
44,175,0,2,1,0,1,93550,8,5
42,176,0,2,2,3,3,40386,16,7
71,177,0,2,1,0,0,32044,10,6
48,178,1,1,1,4,2,46105,15,3
41,179,0,2,1,1,3,62623,13,5
39,180,0,2,1,0,5,73589,19,5
35,181,1,2,0,1,3,81125,20,3
46,182,0,2,0,3,2,98313,14,5
53,183,0,0,1,2,0,52251,5,7
40,184,0,2,1,3,1,87470,6,5
59,185,0,1,0,2,1,70745,5,4
43,186,1,1,0,0,1,34158,8,2
51,187,0,2,0,1,1,58369,15,8
24,188,1,4,0,2,0,80924,10,1
43,189,0,2,0,2,1,103834,2,9
58,190,0,2,1,2,4,34052,7,8
57,191,0,2,0,1,0,27106,10,4
42,192,0,2,0,0,0,86771,14,5
35,193,0,2,2,1,3,30295,12,4
52,194,0,2,0,3,2,41764,5,6
38,195,0,2,1,3,0,61109,19,4
61,196,0,2,0,2,1,33941,18,6
47,197,1,1,0,1,1,68608,8,4
57,198,0,1,0,2,1,51365,6,3
50,199,1,1,1,1,3,77098,3,1
67,200,0,2,2,1,3,46617,15,6
56,201,0,2,1,3,1,75131,8,7
30,202,0,2,2,4,1,81591,6,1
44,203,0,2,1,2,4,91449,14,2
62,204,0,2,2,1,3,33084,12,7
51,205,1,2,0,0,2,79445,6,8
63,206,0,2,0,0,1,26938,8,3
50,207,1,2,1,1,0,81766,7,2
49,208,0,2,0,0,5,57124,21,9
53,209,0,2,0,2,1,70716,6,9
67,210,0,1,1,1,3,36064,5,9
31,211,1,1,2,3,0,84759,12,8
56,212,0,3,2,1,3,94562,8,8
43,213,0,3,1,2,4,90130,20,6
50,214,0,2,1,1,3,81014,9,1
44,215,0,2,1,1,2,89733,15,6
55,216,0,2,0,3,0,23936,22,13
47,217,0,2,0,2,0,71691,17,5
48,218,0,2,0,1,0,73193,18,1
51,219,1,4,0,0,2,89642,9,9
38,220,0,0,1,2,1,94108,5,9
40,221,0,2,0,0,1,89571,2,5
44,222,0,2,0,1,3,90754,21,1
49,223,1,2,0,3,3,50848,2,10
45,224,0,2,0,3,1,80813,9,5
46,225,0,2,1,0,2,94335,5,2
48,226,1,2,1,1,0,34017,26,5
41,227,0,2,2,0,1,109064,2,1
59,228,1,2,0,1,3,45778,9,6
51,229,0,2,2,0,5,48340,7,3
47,230,0,2,0,1,4,97396,2,4
46,231,1,2,2,1,1,105221,18,4
72,232,0,2,0,0,2,69038,12,7
62,233,0,2,1,2,0,78830,10,6
40,234,0,2,0,2,1,89314,8,7
52,235,0,2,1,0,0,95616,11,5
32,236,0,2,0,0,2,49250,6,13
47,237,1,2,0,3,1,52233,9,5
41,238,1,2,2,0,1,92737,7,3
63,239,0,2,0,1,3,103130,10,3
60,240,0,2,2,3,1,22442,13,4
49,241,1,2,2,0,2,64364,14,10
37,242,0,2,2,0,2,89364,17,5
53,243,0,1,0,1,1,58498,3,2
53,244,0,2,0,3,1,51465,12,4
61,245,0,2,1,2,1,31587,3,3
57,246,1,2,0,0,0,71572,17,8
50,247,0,2,0,3,2,81736,16,5
55,248,0,2,0,3,2,42911,13,4
48,249,0,2,0,1,3,94016,7,6
57,250,0,2,0,3,1,31521,12,6
36,251,0,2,0,0,0,34407,20,9
39,252,0,1,2,2,5,55140,10,7
44,253,0,2,1,3,3,106542,6,11
59,254,1,1,1,1,0,48453,19,3
49,255,0,2,0,0,1,97309,22,1
64,256,0,2,0,2,0,67913,6,4
37,257,1,2,2,2,0,58983,15,6
45,258,0,2,2,1,1,97483,2,1
47,259,0,2,2,2,1,40295,25,6
55,260,0,2,1,3,0,91563,7,4
35,261,1,2,2,0,1,60314,10,2
50,262,0,1,0,1,5,26883,10,5
60,263,1,2,1,4,1,47807,21,3
38,264,0,3,2,0,1,105465,7,2
45,265,0,1,0,0,1,58006,21,8
51,266,1,1,2,2,1,74340,25,3
43,267,0,2,0,3,2,80984,18,5
51,268,1,2,0,0,1,86408,19,4
49,269,1,2,1,1,0,78000,5,2
50,270,1,2,0,0,1,59808,10,9
47,271,0,2,1,3,3,64121,10,2
41,272,0,2,0,0,1,86078,15,7
44,273,0,2,1,1,3,43278,12,2
44,274,0,2,1,1,2,61690,6,3
47,275,0,1,0,1,3,64458,11,10
36,276,0,4,1,3,1,80733,10,6
45,277,1,2,2,1,1,93040,12,2
45,278,1,2,2,0,1,77051,23,5
64,279,0,2,2,1,3,31517,9,7
43,280,1,2,1,0,2,72658,18,1
67,281,1,2,0,1,3,68595,9,4
72,282,0,2,1,2,1,37803,12,9
44,283,0,1,1,0,1,81992,12,6
27,284,0,2,0,1,1,88775,13,6
53,285,0,2,1,2,1,83672,21,8
40,286,0,1,0,3,3,93204,12,6
39,287,0,2,0,1,3,48828,17,3
45,288,1,3,0,3,1,47943,8,8
53,289,0,4,0,0,2,74915,3,8
53,290,0,2,2,0,1,28934,11,9
41,291,0,3,2,4,1,75996,10,2
27,292,1,2,2,2,1,71997,23,3
67,293,0,2,1,0,0,59456,9,7
47,294,0,2,0,3,0,36723,16,7
67,295,0,3,1,0,1,37392,15,4
53,296,0,2,1,1,3,39984,17,3
35,297,0,2,0,0,1,47940,14,7
54,298,1,2,2,1,3,85743,23,9
42,299,0,2,0,2,1,64331,4,1
52,300,0,2,0,2,0,90606,7,4
50,301,0,3,0,0,1,78964,12,2
44,302,0,1,1,2,1,91588,13,6
62,303,0,2,0,2,0,30207,9,3
53,304,0,2,0,1,1,58977,17,3
39,305,1,4,0,1,1,96269,13,2
35,306,0,2,2,3,1,82810,19,6
36,307,1,0,1,3,3,65006,19,2
46,308,1,2,0,2,1,84024,12,2
32,309,0,2,1,3,1,85863,14,11
51,310,1,4,0,2,3,68417,8,4
37,311,0,2,1,0,1,90156,15,8
45,312,1,1,1,2,1,81367,2,7
43,313,0,2,0,1,3,87344,12,1
36,314,0,1,1,0,1,102901,6,6
37,315,0,2,0,0,0,86856,8,3
38,316,0,2,0,1,3,56823,27,2
66,317,0,4,1,3,1,55681,11,8
43,318,1,2,2,0,1,43115,15,4
64,319,1,0,2,1,0,55961,8,4
37,320,0,2,0,1,1,97055,2,10
47,321,0,2,0,1,3,61871,4,10
34,322,0,1,1,3,0,66826,6,11
39,323,1,1,1,2,0,40420,4,6
24,324,0,2,2,1,1,86140,13,9
51,325,0,1,0,0,0,67043,16,7
61,326,0,2,1,1,2,72845,5,4
53,327,0,2,2,2,1,76625,7,2
47,328,0,2,1,2,0,92310,9,2
65,329,0,2,1,1,3,41751,7,5
67,330,0,0,0,3,1,69041,7,9
39,331,0,2,2,2,0,32192,6,8
28,332,1,2,1,1,3,83122,10,9
34,333,1,1,2,1,3,100611,5,8
42,334,0,4,1,3,0,86967,7,8
34,335,1,5,2,3,1,81270,17,12
28,336,1,2,2,2,0,85793,12,8
69,337,1,2,0,0,1,57712,9,7
42,338,0,2,2,1,1,65618,7,5
28,339,1,3,1,3,3,96710,11,4
43,340,1,2,2,2,0,97512,20,5
47,341,0,1,0,3,1,70886,7,3
39,342,0,0,1,2,0,46930,3,10
53,343,0,2,2,3,2,74660,22,4
41,344,0,2,1,2,0,70183,13,2
48,345,0,2,0,2,1,98290,15,4
35,346,0,2,1,2,1,73563,12,9
51,347,0,1,1,1,1,95421,9,4
42,348,0,2,1,4,0,43002,14,1
54,349,0,3,0,0,1,86004,4,1
53,350,1,2,0,3,1,49851,19,4
45,351,0,2,1,3,2,88166,24,1
35,352,0,2,0,0,1,86393,10,8
70,353,0,2,2,3,3,32553,13,8
39,354,1,2,1,1,0,97578,14,10
44,355,1,4,1,0,1,83733,22,3
61,356,0,1,0,0,0,65541,10,11
37,357,1,2,0,2,1,83619,2,10
58,358,1,2,1,3,1,83615,15,8
37,359,1,5,1,1,4,91948,12,4
42,360,0,2,2,1,3,91829,8,7
30,361,0,2,0,1,1,108474,11,4
55,362,0,2,1,2,1,33953,14,4
59,363,1,2,2,2,4,40208,5,5
57,364,0,2,0,0,0,79514,16,1
69,365,0,2,2,2,3,37824,10,13
59,366,0,2,2,0,1,25042,10,5
45,367,0,2,0,1,3,97122,6,3
30,368,0,2,0,1,3,57946,13,3
43,369,1,5,0,2,0,76328,10,10
37,370,0,0,2,2,0,109745,10,3
54,371,0,2,1,2,1,65281,19,2
55,372,0,2,1,2,1,82728,27,3
53,373,1,2,0,1,3,70715,16,10
39,374,1,2,0,0,1,30227,9,1
53,375,0,2,0,2,1,40472,3,7
47,376,0,0,0,1,2,77362,20,5
38,377,1,2,0,2,1,67443,13,4
42,378,0,2,2,2,1,36118,6,11
54,379,0,2,1,0,0,25920,3,9
47,380,0,2,0,3,1,93278,5,8
46,381,0,1,2,1,3,92228,18,3
19,382,0,2,2,1,3,86158,5,1
47,383,0,1,2,2,3,72119,13,9
46,384,1,2,1,2,0,55173,10,9
37,385,0,4,0,3,0,59521,7,11
47,386,0,1,2,3,2,48965,7,6
53,387,0,2,2,2,1,100419,8,6
65,388,1,2,2,3,2,59097,12,6
66,389,0,2,0,1,0,41022,16,13
44,390,0,2,0,1,3,73275,2,11
71,391,0,2,2,0,1,25483,17,7
69,392,0,2,2,1,3,108329,3,5
49,393,1,2,0,0,1,62785,16,2
49,394,0,2,2,3,3,74835,18,5
52,395,0,2,1,1,3,72757,27,3
55,396,0,2,0,4,1,63529,9,8
27,397,0,2,1,3,1,91454,19,3
51,398,0,1,0,1,1,79655,2,6
55,399,1,2,1,2,0,82483,5,3
39,400,0,1,2,1,3,77487,25,4
35,401,1,1,2,2,0,87989,17,6
49,402,0,3,1,0,1,52816,13,1
50,403,0,2,1,0,1,69867,11,2
23,404,0,2,0,2,0,43381,14,3
27,405,1,2,0,3,1,108293,16,10
50,406,0,2,0,1,3,89038,5,4
64,407,1,2,0,3,3,61151,8,8
51,408,1,1,0,2,1,63357,24,5
48,409,0,2,0,1,0,59160,13,4
27,410,0,2,0,0,1,121825,4,8
49,411,0,2,2,0,2,86901,23,1
36,412,1,1,0,3,1,80564,12,9
36,413,1,3,2,3,0,67765,15,1
56,414,0,1,0,1,1,82273,14,3
28,415,0,0,2,0,2,74406,21,3
43,416,0,1,0,3,0,62351,9,6
34,417,0,1,2,0,1,40441,8,5
31,418,0,2,2,1,3,81840,16,6
43,419,1,2,0,2,1,85410,9,4
47,420,0,1,0,0,1,40095,24,1
45,421,0,2,2,1,3,85644,14,10
65,422,0,2,1,2,2,31653,23,7
38,423,1,2,1,1,5,21144,10,6
50,424,0,2,2,0,0,77478,9,1
35,425,1,2,0,1,0,73606,13,3
34,426,0,1,1,2,1,84059,9,1
44,427,1,2,0,2,0,67113,25,2
43,428,0,2,1,1,5,47448,11,6
39,429,0,2,0,2,1,70265,9,4
39,430,0,2,2,0,0,87021,5,6
45,431,0,1,0,0,1,57257,7,5
50,432,0,0,0,1,1,23616,10,8
49,433,1,1,2,1,3,82723,18,4
52,434,1,2,0,0,0,90482,11,6
66,435,0,2,2,2,3,31841,14,4
52,436,0,2,1,2,3,71709,2,2
58,437,0,3,1,3,3,69357,13,5
50,438,1,2,1,2,0,92759,26,6
42,439,0,2,1,3,0,78909,8,14
55,440,1,2,1,2,1,58095,11,6
63,441,0,1,1,0,1,32102,27,6
34,442,0,2,2,3,1,87740,11,2
51,443,0,2,1,3,0,97986,10,7
54,444,1,1,1,0,2,41654,7,8
52,445,1,2,1,1,3,57518,8,4
25,446,0,2,0,2,1,70634,10,6
67,447,0,2,0,1,3,24544,12,6
41,448,0,2,1,1,3,63628,15,2
47,449,0,3,2,0,1,98476,16,2
27,450,1,3,1,3,3,88993,19,4
48,451,0,2,0,2,3,35597,2,6
51,452,0,2,0,3,0,60495,16,6
32,453,0,2,1,1,3,112811,14,1
42,454,0,2,2,0,1,102279,2,8
35,455,0,2,0,2,1,78630,18,8
36,456,0,2,1,1,3,103979,14,3
68,457,0,2,1,0,1,36213,11,6
50,458,0,2,2,2,0,84477,12,7
46,459,0,1,0,3,3,80203,16,4
52,460,1,1,0,1,3,90083,17,5
59,461,0,2,2,2,1,28328,19,4
44,462,0,2,1,3,1,76743,7,5
42,463,0,2,2,0,1,69443,4,3
60,464,1,2,1,2,2,61806,21,8
36,465,1,2,0,0,1,90378,15,4
45,466,0,1,1,0,1,67916,5,8
66,467,0,2,0,1,2,53022,7,10
40,468,1,2,1,3,3,107797,11,5
33,469,0,2,1,2,5,91518,23,6
28,470,0,2,2,1,3,80301,21,4
58,471,0,1,2,3,1,22521,9,5
58,472,1,2,1,1,3,86814,25,7
41,473,0,0,1,0,1,77850,12,2
51,474,0,2,1,2,2,62647,26,4
63,475,0,0,1,1,1,32311,9,6
35,476,0,2,1,1,0,64319,3,3
38,477,1,2,2,1,1,76135,10,7
33,478,0,1,2,0,0,55976,7,8
54,479,0,2,1,0,0,53316,17,1
61,480,1,0,2,1,3,26650,18,9
38,481,0,2,0,1,3,94508,9,3
36,482,0,2,2,0,2,80033,10,3
57,483,1,2,0,3,0,90690,5,8
68,484,0,2,1,0,0,24341,15,11
29,485,0,2,2,3,0,46438,19,1
42,486,0,2,0,4,0,87601,16,3
45,487,0,2,1,0,1,113656,15,8
60,488,1,2,0,0,1,52275,21,4
34,489,0,2,0,3,1,100037,23,2
40,490,1,2,0,0,0,92334,8,4
37,491,1,2,2,1,1,88568,4,7
32,492,0,2,2,1,0,50981,13,5
43,493,0,2,1,0,1,61229,10,8
54,494,0,2,2,0,1,96682,16,9
65,495,0,2,1,1,3,48391,18,4
67,496,0,2,1,1,3,76934,20,6
58,497,0,2,2,0,0,42067,17,4
37,498,0,2,2,3,0,96417,7,5
60,499,0,2,2,2,1,31025,9,3
45,500,0,1,0,0,1,34507,7,6
47,501,1,2,1,1,0,89971,16,6
44,502,0,2,2,0,1,51399,18,1
35,503,1,2,2,3,1,78459,6,4
43,504,1,2,0,2,0,102794,14,8
44,505,0,2,2,0,1,70249,16,11
47,506,0,2,1,0,1,61288,8,8
39,507,0,1,0,0,2,58707,5,3
58,508,0,2,1,3,1,97619,13,1
53,509,0,5,0,0,1,88127,15,4
43,510,0,1,2,0,0,81389,14,10
37,511,0,2,1,2,1,59309,10,6
44,512,0,2,0,2,1,68393,13,6
47,513,0,2,0,0,0,79468,23,16
44,514,0,2,2,2,5,38159,16,2
63,515,0,2,1,3,0,29981,13,5
45,516,0,1,2,0,1,84070,18,1
31,517,1,2,2,1,3,65225,23,2
47,518,1,2,1,3,3,96471,14,5
57,519,0,1,0,0,0,70879,7,2
41,520,0,0,1,0,0,65130,12,5
50,521,0,2,0,0,1,95341,8,2
34,522,1,2,0,2,3,30432,24,5
66,523,1,2,2,3,4,81010,4,1
43,524,0,2,0,1,3,38184,19,9
48,525,0,2,2,3,1,91851,6,8
56,526,0,2,0,0,0,76435,9,2
35,527,0,2,1,4,1,88459,8,9
26,528,0,2,0,2,0,95225,17,5
44,529,0,0,2,4,1,84926,12,7
46,530,0,2,0,1,0,101342,22,6
39,531,1,2,2,3,1,93523,9,6
52,532,0,1,0,1,3,65135,28,7
44,533,0,2,0,1,1,83893,12,10
37,534,0,2,1,1,0,61854,9,4
41,535,1,1,0,1,3,55290,8,2
47,536,0,2,0,0,0,57661,7,4
60,537,1,2,2,1,3,37621,13,3
30,538,0,2,2,1,0,84804,23,5
46,539,0,2,1,3,1,54151,10,5
41,540,1,2,2,2,1,58510,9,6
48,541,1,4,2,1,3,59961,12,8
52,542,0,2,2,0,1,89116,5,7
48,543,0,2,2,1,3,104847,10,6
61,544,0,3,1,0,2,33786,13,4
59,545,1,0,0,2,1,92242,5,5
61,546,0,0,2,0,1,39758,10,5
49,547,0,1,1,3,3,86698,11,3
57,548,0,2,0,0,1,46671,11,4
41,549,0,2,0,3,2,58572,13,2
22,550,1,2,2,1,3,107333,12,5
44,551,0,1,2,0,1,94437,3,6
31,552,1,2,1,1,2,72412,11,8
43,553,1,2,0,2,1,89389,5,7
36,554,0,2,0,0,2,94212,12,10
54,555,0,2,0,2,1,35494,12,2
46,556,0,2,2,1,3,74680,6,7
62,557,0,2,2,1,3,69334,11,7
70,558,0,2,2,1,3,24097,18,7
44,559,0,2,2,2,1,59833,18,11
48,560,1,2,0,3,3,65482,4,6
46,561,0,2,2,0,1,91238,8,8
63,562,0,2,1,1,0,32713,4,1
64,563,1,2,2,0,0,30799,4,6
42,564,0,2,1,3,3,82341,3,10
57,565,0,2,2,2,1,32673,12,2
46,566,0,2,0,1,1,81826,17,1
48,567,0,6,2,1,3,51714,2,5
56,568,0,1,1,2,1,65136,6,8
48,569,1,4,0,3,2,96044,3,5
54,570,1,2,2,1,3,118147,12,4
34,571,0,2,1,0,1,82761,5,6
55,572,0,2,1,3,2,41088,3,2
49,573,1,2,1,1,3,76411,16,11
45,574,0,2,2,1,3,72100,6,4
55,575,0,2,2,2,1,62867,8,3
46,576,0,2,0,1,2,80236,8,1
43,577,0,2,1,1,3,83522,10,4
65,578,0,1,0,0,0,40137,10,3
41,579,1,2,1,0,0,92985,5,8
46,580,1,2,0,3,1,26949,8,4
25,581,0,3,2,2,5,92952,7,5
55,582,0,2,1,3,1,57725,9,1
52,583,1,2,2,3,0,85500,17,2
41,584,0,2,1,0,0,85251,11,4
35,585,0,2,0,1,0,104596,27,5
44,586,0,2,0,1,3,79663,9,8
60,587,0,2,2,0,1,74025,14,10
44,588,1,2,1,2,1,57772,14,2
21,589,0,2,1,1,1,81824,8,12
60,590,0,2,1,0,1,33273,15,2
50,591,0,2,0,1,3,104292,7,4
32,592,0,2,1,1,3,103246,9,9
70,593,0,2,2,2,0,28357,10,7
36,594,0,2,0,0,1,46019,6,5
34,595,1,2,0,3,3,83957,8,7
58,596,1,2,1,1,1,64452,15,6
28,597,1,1,1,1,3,76737,9,8
36,598,0,2,2,3,1,74746,11,1
41,599,0,2,0,3,3,47134,12,8
43,600,0,2,0,1,1,94775,7,14
53,601,1,3,0,1,1,69546,11,5
28,602,1,2,0,0,1,73876,3,2
65,603,1,2,1,0,1,23945,8,5
52,604,0,0,0,0,1,83118,13,2
31,605,0,2,1,2,5,87097,19,8
66,606,0,1,0,2,4,31850,2,6
44,607,0,2,0,3,3,80860,13,2
46,608,0,2,0,1,3,64896,10,8
48,609,0,4,0,2,1,76525,9,1
65,610,0,2,2,3,1,30175,24,9
59,611,0,2,2,2,1,28408,5,9
53,612,1,2,2,1,3,70926,10,5
46,613,0,4,2,0,1,45051,13,6
51,614,1,2,0,4,0,54725,11,6
44,615,1,2,2,0,0,72129,16,6
63,616,1,2,2,2,1,66555,16,6
54,617,1,1,0,0,2,34933,8,3
44,618,0,2,0,1,3,101516,7,3
47,619,0,2,1,2,2,62820,10,4
56,620,0,2,2,0,0,102334,15,8
51,621,0,1,1,1,5,82374,21,5
49,622,0,2,2,3,0,58046,20,12
45,623,0,2,0,1,3,81882,7,3
30,624,0,1,0,2,0,87699,3,6
56,625,0,0,1,1,1,77568,10,6
29,626,0,2,0,2,1,89747,26,5
56,627,1,5,1,2,1,72426,8,4
27,628,0,2,0,3,2,91893,16,9
37,629,0,2,1,0,1,92751,8,7
62,630,0,2,2,3,1,40719,20,11
61,631,0,1,0,0,1,87344,21,1
33,632,1,2,0,0,1,79647,8,1
45,633,0,2,0,0,2,94268,12,6
27,634,0,2,2,3,4,75223,5,3
66,635,0,0,2,1,1,34479,16,6
44,636,0,2,0,1,2,83725,9,5
63,637,0,1,1,3,3,27457,23,4
39,638,1,1,0,0,1,80998,12,4
47,639,1,2,2,2,1,93976,5,4
61,640,0,2,1,2,0,66611,20,3
66,641,0,2,2,2,2,24950,9,3
50,642,0,2,2,2,2,107394,13,2
34,643,1,2,1,1,1,89112,8,2
38,644,1,1,1,3,3,69344,14,8
62,645,0,2,0,4,2,29856,18,2
57,646,0,2,1,0,1,73566,8,2
44,647,0,2,1,0,1,97124,4,5
69,648,0,0,2,1,0,25642,12,6
47,649,0,1,2,0,1,67711,22,2
40,650,0,2,1,3,1,92347,21,10
32,651,1,2,0,0,1,107788,4,3
33,652,0,2,2,1,0,102086,13,4
65,653,0,2,0,0,1,93439,5,2
55,654,0,4,2,0,2,42432,25,4
50,655,0,1,2,1,3,23787,10,1
38,656,1,1,0,0,0,65885,19,4
62,657,0,3,1,1,1,34648,5,5
63,658,1,0,1,2,1,66993,5,8
39,659,0,4,0,2,1,92535,24,5
62,660,0,1,1,0,4,31822,2,4
43,661,1,2,1,2,5,62219,5,1
